Order,Semester,Lesson,Slide,QID,Classification,Purpose,Activity,Lesson Flow,Passive Type,
1540,S16,L:  Doomsday,Scenarios,q:1398390577315:703,Passive,,,Required,Text+Sim,
1541,S16,L:  Doomsday,Pulse,q:1398390577315:707,Active,,,Required,,
1542,S16,L:  Doomsday,Runaway?,q:1398390577315:711,Active,,,Required,,
1543,S16,L:  Doomsday,Refresher - Runaway GH Kill,q:1398445721744:60,Active,,,Optional,,
1544,S16,L:  Doomsday,Refresher - Runaway GH Compare,q:1398446266147:72,Active,,,Optional,,
1545,S16,L:  Doomsday,Refresher - Compare,q:1398446852425:93,Active,,,Optional,,
1546,S16,L:  Doomsday,Refresher - Runaway?,q:1416960060898:722,Active,,,Optional,,
1547,S16,L:  Doomsday,Greenhouse Effect,q:1398390577315:717,Passive,,,Required,Text+Image,
1548,S16,L:  Doomsday,Global Warming,q:1398390577315:721,Active,,,Required,,
1549,S16,L:  Doomsday,Rate of Change,q:1416961159619:735,Passive,,,Required,Text+Image,
1550,S16,L:  Doomsday,Global Circulation,q:1398448309845:119,Passive,,,Required,Text+Video,
1551,S16,L:  Doomsday,Climate Change,q:1398390577315:725,Passive,,,Required,Text+Image,
1552,S16,L:  Doomsday,Global Cooling,q:1398449922245:137,Active,,,Required,,
1553,S16,L:  Doomsday,Global Warming,q:1398448831636:124,Active,,,Required,,
1554,S16,L:  Doomsday,Terminology,q:1398390577315:729,Passive,,,Required,Text,*this has a trap-state that halts them if they try to speed through this page
1555,S16,L:  Doomsday,Food Security,q:1398390581934:738,Passive,,,Required,Text+Image,
1556,S16,L:  Doomsday,Collapse,q:1398390581934:742,Passive,,,Required,Text+Image,
1557,S16,L:  Doomsday,Threat,q:1398390581934:746,Passive,,,Required,Text+Image,
1558,S16,L:  Doomsday,Solution,q:1398390581934:750,Active,,,Required,,
1559,S16,L:  Doomsday,Solar Future,q:1398390587061:763,Passive,,,Required,Text+Image,
1560,S16,L:  Doomsday,Luminosity,q:1398390587061:767,Passive,,,Required,Text+Image,
1561,S16,L:  Doomsday,Solar Luminosity,q:1398390587061:771,Active,,,Required,,
1562,S16,L:  Doomsday,Effective Temperature,q:1398390587061:775,Active,,,Required,,
1563,S16,L:  Doomsday,CO2 Collapse,q:1398390587061:783,Active,,,Required,,
1564,S16,L:  Doomsday,Runaway,q:1398390587061:787,Active,,,Required,,
1565,S16,L:  Doomsday,Complete Timeline,q:1398390587061:791,Passive,,,Required,Text+Sim,
1566,S16,L:  Doomsday,Conclusion,q:1398390591405:796,Passive,,,Required,Text+Image,
1567,S16,L:  Application,Instructions,q:1398460326847:456,Passive,,,Required,Text,
1568,S16,L:  Application,Option 1,q:1398460326847:464,Passive,,,Required,Text+Image,
1569,S16,L:  Application,System 1 Setup,q:1398460326847:472,Active,,,Required,,
1570,S16,L:  Application,Terraform,q:1416981897829:590,Passive,,,Required,Text,
1571,S16,L:  Application,Question 1,q:1398460613678:543,Active,,,Bank Option,,
1572,S16,L:  Application,Question 2,q:1398460613678:547,Active,,,Bank Option,,
1573,S16,L:  Application,Question 3,q:1398460613678:551,Active,,,Bank Option,,
1574,S16,L:  Application,Question 4,q:1398460613678:555,Active,,,Bank Option,,
1575,S16,L:  Application,Explain,q:1398460326847:520,Active,,,Required,,
1576,S16,L:  Application,Definitions,q:1398460326847:526,Active,,,Required,,
1577,S16,L:  Application,Exit,q:1398460326847:532,Passive,,,Required,Text+Image,
1578,S16,Conclusion,Intro,q:1398461191060:482,Passive,,,Required,Text,
1579,S16,Conclusion,R*,q:1398461191060:486,Active,,,Required,,
1580,S16,Conclusion,fp,q:1398461191060:494,Active,,,Required,,
1581,S16,Conclusion,ne,q:1398461191061:502,Active,,,Required,,
1582,S16,Conclusion,fl,q:1398461191061:511,Active,,,Required,,
1583,S16,Conclusion,fi,q:1398461191061:519,Active,,,Required,,
1584,S16,Conclusion,fc,q:1398461191061:527,Active,,,Required,,
1585,S16,Conclusion,L,q:1398461191061:535,Active,,,Required,,
1586,S16,Conclusion,Civs,q:1398461191061:546,Active,,,Required,,
1587,S16,Conclusion,Night Lights,q:1398461191061:558,Active,,,Required,,
1588,S16,Conclusion,Results,q:1398461191061:565,Passive,,,Required,Text+Poll Results,
1589,S16,Conclusion,Explore Time,q:1398461197297:574,Passive,,,Required,Text+Image,
1590,S16,Conclusion,Fermi Paradox,q:1398461197297:578,Active,,,Required,,
1591,S16,Conclusion,Major,q:1452097218056:137,Active,,,Required,,
1592,S16,Conclusion,Major Details,q:1452097218261:145,Active,,,Optional,,
1593,S16,Conclusion,Plans,q:1452097218392:149,Active,,,Required,,
1594,S16,Conclusion,Abilities 1,q:1452097218550:153,Active,,,Required,,
1595,S16,Conclusion,Abilities 2,q:1452097218750:157,Active,,,Required,,
1596,S16,Conclusion,Benefits 1,q:1452097218884:161,Active,,,Required,,
1597,S16,Conclusion,Benefits 2,q:1452097219088:165,Active,,,Required,,
1598,S16,Conclusion,Overall,q:1452097219222:169,Active,,,Required,,
1599,S16,Conclusion,Science 1,q:1452097219397:173,Active,,,Required,,
1600,S16,Conclusion,Science 2,q:1452097219559:177,Active,,,Required,,
1601,S16,Conclusion,Science 3,q:1452097219718:181,Active,,,Required,,
1602,S16,Conclusion,Engagement 1,q:1452097219897:185,Active,,,Required,,
1603,S16,Conclusion,Engagement 2,q:1452097220033:189,Active,,,Required,,
1604,S16,Conclusion,Process Knowledge,q:1452097220212:193,Active,,,Required,,
1605,S16,Conclusion,Individual Collaborative,q:1452097220375:197,Active,,,Required,,
1606,S16,Conclusion,Breakthrough Incremental,q:1452097220554:201,Active,,,Required,,
1607,S16,Conclusion,Prelim Final,q:1452097220715:205,Active,,,Required,,
1608,S16,Conclusion,Piazza,q:1398469570991:257,Active,,,Required,,
1609,S16,Conclusion,Notes,q:1429207898177:469,Active,,,Required,,
1610,S16,Conclusion,Priming App,q:1429208954477:474,Active,,,Required,,
1611,S16,Conclusion,Priming - Yes 1,q:1429209044654:480,Active,,,Optional,,
1612,S16,Conclusion,Priming - Yes 2,q:1448391997278:9,Active,,,Optional,,
1613,S16,Conclusion,Priming - Yes 3,q:1429209432884:490,Active,,,Optional,,
1614,S16,Conclusion,Priming - No,q:1429209054433:485,Active,,,Optional,,
1615,S16,Conclusion,Anyone Else?,q:1398461206605:607,Active,,,Required,,
1616,S16,Conclusion,Fate,q:1398461206605:611,Active,,,Required,,
1617,S16,Conclusion,Role,q:1398461206605:615,Active,,,Required,,
1618,S16,Project,Welcome,q:1394145461594:946,Passive,,,Required,Text+Video,
1619,S16,Project,Instructions,q:1394145465676:951,Passive,,,Required,Text,
1620,S16,Project,Actions,q:1394145471428:956,Active,,,Required,,
1621,S16,Project,Methodology,q:1394145481697:976,Active,,,Required,,
1622,S16,Project,Press Release,q:1394145490495:986,Active,,,Required,,
1623,S16,Project,Message,q:1394145495444:991,Active,,,Required,,
