Slide,Lesson,Classification,Lesson Flow,Passive Type,x,y,time,,id,year,numbers,neworigintime,,intensity
Calculation,Intro 4:  Time,Active,Required,unknown,-7.9279,-25.018,2013-08-17T14:56:22.605,,62,1952,62,1905-02-01T00:00:00,,0.0061
Calculation,Intro 4:  Time,Active,Required,unknown,-8.2339,-24.656,2013-08-17T14:54:41.953,,63,1722,63,1905-03-01T00:00:00,,0.0062
Calculation,Intro 4:  Time,Active,Required,unknown,-8.2339,-24.656,2013-08-17T14:51:37.053,,64,,64,1905-04-01T00:00:00,,0.0063
Calculation,Intro 4:  Time,Active,Required,unknown,-8.2339,-24.656,2013-08-17T14:45:24.557,,65,1864,65,1905-05-01T00:00:00,,0.0064
Calculation,Intro 4:  Time,Active,Required,unknown,-8.2339,-24.656,2013-08-17T14:43:34.09,,66,1540,66,1905-06-01T00:00:00,,0.0065
Calculation,Intro 4:  Time,Active,Required,unknown,-8.2339,-24.656,2013-08-17T14:40:39.343,,67,1802,67,1905-07-01T00:00:00,,0.0066
Calculation,Intro 4:  Time,Active,Required,unknown,-8.2339,-24.656,2013-08-17T14:35:32.893,,68,,68,1905-08-01T00:00:00,,0.0067
Calculation,Intro 4:  Time,Active,Required,unknown,-8.2339,-24.656,2013-08-17T14:31:29.132,,69,-56,69,1905-09-01T00:00:00,,0.0068
Calculation,Intro 4:  Time,Active,Required,unknown,-7.388,-22.171,2013-08-17T14:27:40.975,,70,1951,70,1900-06-01T00:00:00,,0.0069
Calculation,Intro 4:  Time,Active,Required,unknown,-7.388,-22.171,2013-08-17T14:22:43.02,,71,998,71,1900-07-01T00:00:00,,0.007
Calculation,Intro 4:  Time,Active,Required,unknown,-7.388,-22.171,2013-08-17T14:21:29.967,,72,1931,72,1900-08-01T00:00:00,,0.0071
Calculation,Intro 4:  Time,Active,Required,unknown,-7.388,-22.171,2013-08-17T14:16:29.056,,73,1813,73,1900-09-01T00:00:00,,0.0072
Calculation,Intro 4:  Time,Active,Required,unknown,-7.388,-22.171,2013-08-17T14:13:43.068,,74,,74,1900-10-01T00:00:00,,0.0073
Calculation,Intro 4:  Time,Active,Required,unknown,-7.388,-22.171,2013-08-17T14:10:45.393,,75,1819,75,1900-11-01T00:00:00,,0.0074
Calculation,Intro 4:  Time,Active,Required,unknown,-7.388,-22.171,2013-08-17T14:09:18.031,,76,1164,76,1900-12-01T00:00:00,,0.0075
Calculation,Intro 4:  Time,Active,Required,unknown,2.6423,-23.831,2013-08-17T14:00:54.886,,77,,77,1901-01-01T00:00:00,,0.0076
Calculation,Intro 4:  Time,Active,Required,unknown,2.6423,-23.831,2013-08-17T13:57:00.458,,78,1379,78,1901-02-01T00:00:00,,0.0077
Calculation,Intro 4:  Time,Active,Required,unknown,2.6423,-23.831,2013-08-17T13:52:06.489,,79,1559,79,1901-03-01T00:00:00,,0.0078
Calculation,Intro 4:  Time,Active,Required,unknown,2.6423,-23.831,2013-08-17T13:45:59.89,,80,1186,80,1906-08-01T00:00:00,,0.0079
Calculation,Intro 4:  Time,Active,Required,unknown,2.6423,-23.831,2013-08-17T13:42:55.144,,81,1950,81,1906-09-01T00:00:00,,0.008
Calculation,Intro 4:  Time,Active,Required,unknown,2.6423,-23.831,2013-08-17T13:41:44.389,,82,1927,82,1906-10-01T00:00:00,,0.0081
Calculation,Intro 4:  Time,Active,Required,unknown,2.6423,-23.831,2013-08-17T13:38:58.42,,83,1842,83,1906-11-01T00:00:00,,0.0082
Calculation,Intro 4:  Time,Active,Required,unknown,3.115,-23.938,2013-08-17T13:37:07.757,,84,921,84,1906-12-01T00:00:00,,0.0083
Calculation,Intro 4:  Time,Active,Required,unknown,3.115,-23.938,2013-08-17T13:32:07.908,,85,1540,85,1907-01-01T00:00:00,,0.0084
Calculation,Intro 4:  Time,Active,Required,unknown,3.115,-23.938,2013-08-17T13:31:38.6,,86,1580,86,1907-02-01T00:00:00,,0.0085
Calculation,Intro 4:  Time,Active,Required,unknown,3.115,-23.938,2013-08-17T13:30:26.751,,87,1750,87,1907-03-01T00:00:00,,0.0086
Calculation,Intro 4:  Time,Active,Required,unknown,3.115,-23.938,2013-08-17T13:26:23.637,,88,1662,88,1907-04-01T00:00:00,,0.0087
Calculation,Intro 4:  Time,Active,Required,unknown,3.115,-23.938,2013-08-17T13:21:13.784,,89,1642,89,1907-05-01T00:00:00,,0.0088
Calculation,Intro 4:  Time,Active,Required,unknown,3.115,-23.938,2013-08-17T13:16:36.58,,90,1368,90,1907-06-01T00:00:00,,0.0089
Calculation,Intro 4:  Time,Active,Required,unknown,-7.0879,-22.101,2013-08-17T13:13:54.496,,91,1135,91,1907-07-01T00:00:00,,0.009
Calculation,Intro 4:  Time,Active,Required,unknown,-7.0879,-22.101,2013-08-17T13:09:39.843,,92,1520,92,1907-08-01T00:00:00,,0.0091
Calculation,Intro 4:  Time,Active,Required,unknown,-7.0879,-22.101,2013-08-17T13:06:56,,93,1825,93,1907-09-01T00:00:00,,0.0092
Calculation,Intro 4:  Time,Active,Required,unknown,-7.0879,-22.101,2013-08-17T13:06:24.972,,94,1775,94,1907-10-01T00:00:00,,0.0093
Calculation,Intro 4:  Time,Active,Required,unknown,-7.0879,-22.101,2013-08-17T13:05:04.432,,95,1910,95,1907-11-01T00:00:00,,0.0094
Calculation,Intro 4:  Time,Active,Required,unknown,-7.0879,-22.101,2013-08-17T13:04:39.258,,96,1894,96,1907-12-01T00:00:00,,0.0095
Calculation,Intro 4:  Time,Active,Required,unknown,-7.0879,-22.101,2013-08-17T12:57:23.54,,97,1697,97,1908-01-01T00:00:00,,0.0096
Reading Graphs,Science Literacy,Active,Required,unknown,-7.4357,2.6483,2013-08-17T12:53:48.299,,98,1779,98,1908-02-01T00:00:00,,0.0097
Lecturette:  Plate Tectonics,ne 8:  Inorganic Carbon Cycle,Active,Required,unknown,-14.422,-3.8682,2013-08-17T12:50:49.452,,99,1647,99,1900-06-01T00:00:00,,0.0098
Object Temps,R* 3:  Color,Active,Required,unknown,4.0167,14.405,2013-08-17T12:48:12.977,,100,1989,100,1900-07-01T00:00:00,,0.0099
Molecules,ne 8:  Inorganic Carbon Cycle,Active,Required,unknown,-14.794,-4.0335,2013-08-17T12:45:06.591,,101,1843,101,1900-08-01T00:00:00,,0.01
H2S,ne 3:  Gasses,Active,Bank Option,unknown,11.671,27.915,2013-08-17T12:40:29.723,,102,1583,102,1900-09-01T00:00:00,,0.0101
Exponents,Science Literacy,Active,Required,unknown,-7.238,2.5786,2013-08-17T12:39:28.52,,103,1850,103,1900-10-01T00:00:00,,0.0102
Distance - Proxima Centauri,Intro 3:  Space,Active,Required,unknown,-2.354,-24.426,2013-08-17T12:26:45.386,,104,1813,104,1900-11-01T00:00:00,,0.0103
Snowball Break,ne 10:  Ancient Climates,Active,Required,unknown,11.55,27.305,2013-08-17T12:20:58.786,,105,1249,105,1900-12-01T00:00:00,,0.0104
Energy Sources,fl 1:  Defining Life,Active,Required,unknown,-18.423,17.379,2013-08-17T12:12:56.692,,106,1965,106,1901-01-01T00:00:00,,0.0105
Metallicity,R* 6:  Elements,Active,Required,unknown,12.439,-19.862,2013-08-17T12:11:38.284,,107,1844,107,1901-02-01T00:00:00,,0.0106
Reservoirs,ne 8:  Inorganic Carbon Cycle,Active,Required,unknown,-15.113,-4.1662,2013-08-17T12:06:17.218,,108,1438,108,1901-03-01T00:00:00,,0.0107
Accumulation,ne 8:  Inorganic Carbon Cycle,Active,Required,unknown,-15.724,-3.9203,2013-08-17T11:57:19.352,,109,1636,109,1909-01-01T00:00:00,,0.0108
Moon,ne 5:  Climate,Active,Required,unknown,25.529,-2.4904,2013-08-17T11:50:48.382,,110,1552,110,1909-02-01T00:00:00,,0.0109
Moon,ne 5:  Climate,Passive,Required,Text+Image,25.529,-2.4904,2013-08-17T11:49:30.634,,111,1922,111,1909-03-01T00:00:00,,0.011
Moon,ne 5:  Climate,Active,Required,unknown,24.494,-7.0267,2013-08-17T11:46:16.315,,112,856,112,1909-04-01T00:00:00,,0.0111
Moon,ne 5:  Climate,Passive,Required,Text+Image,24.494,-7.0267,2013-08-17T11:44:54.446,,113,1618,113,1909-05-01T00:00:00,,0.0112
Runaway?,L:  Doomsday,Active,Required,unknown,-14.058,-3.6904,2013-08-17T11:42:25.526,,114,1647,114,1909-06-01T00:00:00,,0.0113
Half-life 3,ne 7:  Age Dating,Active,Required,unknown,11.603,-13.723,2013-08-17T11:37:01.049,,115,452,115,1909-07-01T00:00:00,,0.0114
Combo 3,fl 3:  Application,Active,Bank Option,unknown,-0.36385,17.487,2013-08-17T11:32:53.563,,116,1944,116,1909-08-01T00:00:00,,0.0115
Signs of Life,fl 5:  Biosignatures,Active,Required,unknown,-22.617,7.5354,2013-08-17T11:30:39.411,,117,1496,117,1909-09-01T00:00:00,,0.0116
