Slide,Lesson,Classification,Lesson Flow,Passive Type,x,y,time,,id,year,numbers,neworigintime,,intensity
Build-a-Neptune,fp 3:  Planet Composition,Active,Required,unknown,-23.01,11.228,2013-08-16T06:38:28.161,,728,1929,728,1960-08-01T00:00:00,,0.92
Logarithms,Science Literacy,Active,Required,unknown,-5.9701,0.089239,2013-08-16T06:36:39.967,,729,1943,729,1960-09-01T00:00:00,,0.93
Survey Results,R* 3:  Color,Passive,Required,Text+Poll Results,-1.8434,-4.8864,2013-08-16T06:33:48.436,,730,1805,730,1960-10-01T00:00:00,,0.94
Lecturette:  Runaway Greenhouse,ne 9:  Habitable Zone,Active,Required,unknown,11.574,25.625,2013-08-16T06:30:36.227,,731,1971,731,1960-11-01T00:00:00,,0.95
Prelim Final,Conclusion,Active,Required,unknown,21.65,6.0145,2013-08-16T06:28:31.376,,732,1988,732,1960-12-01T00:00:00,,0.96
Lecturette:  Dynamic Atmosphere,ne 10:  Ancient Climates,Passive,Required,Video,-15.467,-13.832,2013-08-16T06:27:09.623,,733,2008,733,1961-01-01T00:00:00,,0.97
Freeze,ne 10:  Ancient Climates,Active,Required,unknown,12.607,26.448,2013-08-16T06:24:17.714,,734,1961,734,1961-02-01T00:00:00,,0.01
Short Timescales,fi 2:  Evolution,Passive,Required,Text+Image,7.5615,11.623,2013-08-16T06:23:23.724,,735,1936,735,1961-03-01T00:00:00,,0.01
Fermi Paradox,Intro 5:  The Scientific Process,Active,Required,unknown,12.125,8.9171,2013-08-16T06:23:11.937,,736,1935,736,1961-04-01T00:00:00,,0.01
Logarithmic Scale,R* 2:  Brightness,Passive,Required,Text+Image,-19.997,-19.864,2013-08-16T06:22:03.189,,737,1827,737,1961-05-01T00:00:00,,0.01
Logarithmic Scale,R* 2:  Brightness,Passive,Required,Text+Image,-19.997,-19.864,2013-08-16T06:21:20.594,,738,1815,738,1961-06-01T00:00:00,,0.01
Logarithmic Scale,R* 2:  Brightness,Passive,Required,Text+Image,-21.49,-20.624,2013-08-16T06:20:00.917,,739,1978,739,1961-07-01T00:00:00,,0.01
Logarithmic Scale,R* 2:  Brightness,Passive,Required,Text+Image,-21.49,-20.624,2013-08-16T06:16:35.794,,740,1822,740,1961-08-01T00:00:00,,0.01
Survey Results,ne 5:  Climate,Passive,Required,Text+Poll Results,22.07,0.99729,2013-08-16T06:13:33.863,,741,1964,741,1961-09-01T00:00:00,,0.01
Introduction,fp 1:  Transits,Passive,Required,Text+Image,0.063933,-1.4879,2013-08-16T06:09:16.72,,742,1946,742,1961-10-01T00:00:00,,0.01
fi,Intro 6:  Drake Conjecture,Active,Required,unknown,15.586,16.891,2013-08-16T06:08:22.069,,743,1973,743,1961-11-01T00:00:00,,0.01
Planet 3,ne 9:  Application,Active,Bank Option,unknown,-3.1275,23.749,2013-08-16T06:06:40.4,,744,1885,744,1961-12-01T00:00:00,,0.01
Effective Temperature,L:  Doomsday,Active,Required,unknown,8.2065,11.21,2013-08-16T06:04:59.986,,745,1878,745,1962-01-01T00:00:00,,0.01
Lecturette:  Beyond the Hab Zone,ne 9:  Habitable Zone,Passive,Required,Video,-2.8369,24.565,2013-08-16T06:03:17.198,,746,1879,746,1962-02-01T00:00:00,,0.01
Perturb Down,ne 8:  Inorganic Carbon Cycle,Active,Required,unknown,10.795,22.393,2013-08-16T05:57:52.448,,747,2008,747,1962-03-01T00:00:00,,0.01
Lecturette:  Types of Rocks,ne 7:  Age Dating,Passive,Required,Video,19.112,-19.13,2013-08-16T05:56:49.317,,748,1868,748,1962-04-01T00:00:00,,0.01
Instructions,fl 2:  Application,Passive,Required,Text,-12.58,7.5549,2013-08-16T05:56:10.606,,749,1773,749,1962-05-01T00:00:00,,0.01
Instructions,Project,Passive,Required,Text,16.667,2.3355,2013-08-16T05:53:51.72,,750,1850,750,1962-06-01T00:00:00,,0.01
Survey,ne 7:  Age Dating,Active,Required,unknown,19.901,-18.92,2013-08-16T05:51:48.376,,751,1890,751,1962-07-01T00:00:00,,0.01
Convert,ne 7:  Age Dating,Active,Required,unknown,9.7832,-14.564,2013-08-16T05:50:15.466,,752,2006,752,1962-08-01T00:00:00,,0.01
Star Formation,R* 5:  Stellar Lifecycles,Passive,Required,Text+Video,-3.1328,-15.31,2013-08-16T05:46:46.589,,753,1932,753,1962-09-01T00:00:00,,0.01
Methodology,Project,Active,Required,unknown,23.599,7.9574,2013-08-16T05:44:39.995,,754,1933,754,1962-10-01T00:00:00,,0.01
Albedo,ne 2:  Energy Balance,Active,Required,unknown,-17.652,-9.7751,2013-08-16T05:42:32.049,,755,1984,755,1962-11-01T00:00:00,,0.01
Hyp - Mass v. Life,R* 5:  Stellar Lifecycles,Active,Required,unknown,-2.7438,-15.81,2013-08-16T05:41:17.553,,756,1913,756,1962-12-01T00:00:00,,0.01
Show Colors,fp 2:  Radial Velocity,Passive,Required,Text+Image,16.778,-9.5095,2013-08-16T05:38:05.237,,757,1919,757,1963-01-01T00:00:00,,0.01
UR Analysis,ne 7:  Age Dating,Passive,Required,Text+Image,8.6797,-21.033,2013-08-16T05:37:02.581,,758,1902,758,1963-02-01T00:00:00,,0.01
Climate Controls,ne 5:  Climate,Passive,Required,Text,16.957,12.609,2013-08-16T05:34:05.816,,759,1835,759,2013-08-16T12:38:01.397,,0.01
Meteorites,fl 2:  Life Ingredients,Passive,Required,Text+Image,-13.518,5.8633,2013-08-16T05:31:16.483,,760,1947,760,2013-08-16T12:36:18.91,,0.01
Geo Explore,fi 1:  Oxygen and Life,Passive,Required,Text+Image,19.395,2.2838,2013-08-16T05:27:37.216,,761,2010,761,2013-08-16T12:35:11.207,,0.01
Orientation,ne 7:  Age Dating,Passive,Required,Text+Image,16.536,-18.541,2013-08-16T05:26:39.651,,762,1969,762,2013-08-16T12:31:50.078,,0.01
O3,ne 3:  Gasses,Active,Bank Option,unknown,6.6437,26.537,2013-08-16T05:24:17.409,,763,1865,763,2013-08-16T12:29:56.804,,0.01
North Pole - Stroms,fl 5:  Biosignatures,Passive,Required,Text+Image,-19.474,-9.5021,2013-08-16T05:23:37.781,,764,2003,764,2013-08-16T12:27:19.73,,0.01
Circulation - Sink,ne 5:  Climate,Active,Required,unknown,25.11,-7.577,2013-08-16T05:22:58.912,,765,1920,765,2013-08-16T12:26:18.127,,0.01
Obs 5,Intro 2:  Mindscape,Active,Bank Option,unknown,-7.8588,12.973,2013-08-16T05:19:25.034,,766,1910,766,2013-08-16T12:24:24.423,,0.01
Bio Explore,fi 1:  Oxygen and Life,Passive,Required,Text+Image,18.415,1.5601,2013-08-16T05:15:58.479,,767,1804,767,2013-08-16T12:20:58.705,,0.01
Water Intro,ne 1:  Water,Passive,Required,Text+Image,-20.664,7.7544,2013-08-16T05:15:28.43,,768,1879,768,2013-08-16T12:18:32.981,,0.01
Chemical Precipitation,ne 6:  Planetary Evolution,Passive,Required,Text+Image,14.619,-7.1909,2013-08-16T05:14:51.4,,769,1948,769,1964-01-01T00:00:00,,0.01
Paired Statements,Intro 1:  Preconceptions,Active,Required,unknown,-13.215,15.263,2013-08-16T05:12:57.835,,770,1908,770,1964-02-01T00:00:00,,0.01
Photon,R* 3:  Color,Passive,Required,Text+Image,1.7234,-1.1458,2013-08-16T05:08:57.931,,771,1886,771,1964-03-01T00:00:00,,0.01
Simplification,fp 2:  Radial Velocity,Passive,Required,Text,3.7557,29.212,2013-08-16T05:06:41.877,,772,1870,772,1964-04-01T00:00:00,,0.01
Survey Results,R* 2:  Brightness,Passive,Required,Text+Poll Results,-4.9133,-18.836,2013-08-16T05:05:17.486,,773,1671,773,1964-05-01T00:00:00,,0.01
2nd Law,fl 1:  Defining Life,Passive,Required,Text+Image,-17.497,8.9354,2013-08-16T05:03:02.82,,774,1796,774,1964-06-01T00:00:00,,0.01
Inside,fl 5:  Biosignatures,Passive,Required,Text+Image,-19.315,8.575,2013-08-16T05:02:26.463,,775,1977,775,1964-07-01T00:00:00,,0.01
Other Effects,fp 1:  Transits,Passive,Required,Text,0.37167,4.2677,2013-08-16T04:58:08.562,,776,1970,776,1964-08-01T00:00:00,,0.01
Compare Units,Science Literacy,Active,Required,unknown,-13.42,5.5082,2013-08-16T04:56:00.429,,777,1983,777,1964-09-01T00:00:00,,0.01
Message,Project,Active,Required,unknown,24.027,8.3038,2013-08-16T04:52:18.111,,778,2004,778,1964-10-01T00:00:00,,0.01
Planet 3,fl 4:  Application,Active,Bank Option,unknown,-3.5179,18.941,2013-08-16T04:52:02.404,,779,1958,779,1964-11-01T00:00:00,,0.01
Press Release,Project,Active,Required,unknown,23.846,8.1782,2013-08-16T04:50:33.202,,780,1924,780,1964-12-01T00:00:00,,0.01
288 K Color,R* 3:  Color,Active,Required,unknown,6.8259,15.11,2013-08-16T04:49:03.29,,781,1990,781,1965-01-01T00:00:00,,0.01
Survey Results,ne 7:  Age Dating,Passive,Required,Text+Poll Results,19.53,-19.062,2013-08-16T04:46:56.647,,782,1904,782,1965-02-01T00:00:00,,0.01
Notes,Conclusion,Active,Required,unknown,21.887,6.5427,2013-08-16T04:42:22.812,,783,1974,783,1965-03-01T00:00:00,,0.01
R*,Conclusion,Active,Required,unknown,21.359,-11.319,2013-08-16T04:40:31.154,,784,1950,784,1965-04-01T00:00:00,,0.01
Water Components Escape,ne 9:  Habitable Zone,Active,Required,unknown,12.304,24.212,2013-08-16T04:37:17.123,,785,1919,785,1965-05-01T00:00:00,,0.01
Complex Sun,R* 6:  Elements,Passive,Required,Text+Image,-15.093,-16.478,2013-08-16T04:32:54.521,,786,1962,786,1965-06-01T00:00:00,,0.01
Intro,Conclusion,Passive,Required,Text,20.122,-10.785,2013-08-16T04:31:01.599,,787,1942,787,1965-07-01T00:00:00,,0.01
Feedbacks,L:  Doomsday,Active,Required,unknown,12.356,-1.6798,2013-08-16T04:30:02.382,,788,1863,788,1965-08-01T00:00:00,,0.01
Survey,fi 1:  Oxygen and Life,Active,Required,unknown,15.213,-0.14337,2013-08-16T04:27:38.155,,789,1890,789,1965-09-01T00:00:00,,0.01
fl,Conclusion,Active,Required,unknown,23.821,-8.5443,2013-08-16T04:25:00.613,,790,1827,790,1965-10-01T00:00:00,,0.01
Review - Gas,ne 3:  Gasses,Passive,Required,Text+Image,12.133,16.485,2013-08-16T04:24:46.426,,791,1993,791,1965-11-01T00:00:00,,0.01
Dales Gorge,fl 5:  Biosignatures,Passive,Required,Text+Image,-15.327,-10.199,2013-08-16T04:24:10.864,,792,1995,792,1965-12-01T00:00:00,,0.01
Review - Spectrum,ne 3:  Gasses,Passive,Required,Text+Image,11.558,15.484,2013-08-16T04:22:01.289,,793,1819,793,1966-01-01T00:00:00,,0.01
Light Modification,fp 2:  Radial Velocity,Active,Required,unknown,16.587,-10.512,2013-08-16T04:19:37.506,,794,1874,794,1966-02-01T00:00:00,,0.01
fi,Conclusion,Active,Required,unknown,23.89,-7.8536,2013-08-16T04:19:06.639,,795,1899,795,1966-03-01T00:00:00,,0.01
Rock Properties,ne 7:  Age Dating,Passive,Required,Text+Image,14.711,-18.236,2013-08-16T04:16:30.351,,796,1851,796,1966-04-01T00:00:00,,0.01
Soil --> Rivers,ne 8:  Inorganic Carbon Cycle,Active,Required,unknown,-17.914,-6.6071,2013-08-16T04:12:50.119,,797,1957,797,1966-05-01T00:00:00,,0.01
Easiest to Find,fp 1:  Transits,Active,Required,unknown,-2.6355,0.0094619,2013-08-16T04:12:00.568,,798,1865,798,1966-06-01T00:00:00,,0.01
Transitions,ne 5:  Climate,Passive,Required,Text,26.186,-7.0134,2013-08-16T04:11:30.598,,799,1912,799,1966-07-01T00:00:00,,0.01
About Albedo,ne 2:  Energy Balance,Passive,Required,Text+Image,-17.502,-10.242,2013-08-16T04:08:04.234,,800,1932,800,1966-08-01T00:00:00,,0.01
Combo 6,fp 3:  Application,Active,Bank Option,unknown,-22.277,-2.6203,2013-08-16T04:06:58.683,,801,1909,801,1966-09-01T00:00:00,,0.01
Combo 6,fp 3:  Application,Active,Bank Option,unknown,-22.277,-2.6203,2013-08-16T04:04:11.02,,802,1933,802,1966-10-01T00:00:00,,0.01
Individual Collaborative,Conclusion,Active,Required,unknown,21.622,5.4603,2013-08-16T04:03:54.775,,803,1838,803,1966-11-01T00:00:00,,0.01
Planet Reconstruction,fp 3:  Planet Composition,Passive,Required,Text,-12.064,20.39,2013-08-16T04:02:32.397,,804,1820,804,1966-12-01T00:00:00,,0.01
Time Transgressive,ne 7:  Age Dating,Passive,Required,Text+Image,14.592,-18.397,2013-08-16T04:00:40.495,,805,2001,805,1967-01-01T00:00:00,,0.01
Lifecycle Intro,R* 5:  Stellar Lifecycles,Passive,Required,Text+Image,-4.6463,-9.2037,2013-08-16T03:59:25.493,,806,1871,806,1967-02-01T00:00:00,,0.01
Planet Size,ne 2:  Energy Balance,Active,Required,unknown,-17.363,-10.849,2013-08-16T03:58:05.033,,807,1969,807,1967-03-01T00:00:00,,0.01
Diffusion,ne 5:  Climate,Passive,Required,Text+Image,24.473,-6.7428,2013-08-16T03:56:03.07,,808,1970,808,1967-04-01T00:00:00,,0.01
Geology,ne 5:  Climate,Passive,Required,Text,16.613,12.86,2013-08-16T03:51:35.749,,809,1952,809,1967-05-01T00:00:00,,0.01
Add Masses - Simple,fp 3:  Planet Composition,Active,Required,unknown,-11.721,20.683,2013-08-16T03:49:34.089,,810,1924,810,1967-06-01T00:00:00,,0.01
About Math,Science Literacy,Passive,Required,Text+Image,-4.0796,0.97102,2013-08-16T03:47:43.885,,811,1841,811,1967-07-01T00:00:00,,0.01
Lecturette:  Climate Review,ne 10:  Ancient Climates,Passive,Required,Video,-2.3644,22.931,2013-08-16T03:46:31.746,,812,1959,812,1967-08-01T00:00:00,,0.01
Why Geology?,ne 7:  Age Dating,Passive,Required,Text+Image,18.707,-19.154,2013-08-16T03:42:46.847,,813,1954,813,1967-09-01T00:00:00,,0.01
Abilities 1,Intro 1:  Preconceptions,Active,Required,unknown,-19.426,12.167,2013-08-16T03:39:03.501,,814,1878,814,1967-10-01T00:00:00,,0.01
Evaluation 1,R* 3:  Application,Active,Bank Option,unknown,-5.6236,-4.5755,2013-08-16T03:36:54.166,,815,1904,815,1967-11-01T00:00:00,,0.01
Evaluation 1,R* 3:  Application,Active,Bank Option,unknown,-5.6236,-4.5755,2013-08-16T03:35:43.398,,816,2000,816,1967-12-01T00:00:00,,0.01
UV Behavior,ne 3:  Gasses,Active,Required,unknown,-0.083655,-0.48943,2013-08-16T03:34:11.19,,817,2008,817,1968-01-01T00:00:00,,0.01
Energy Usage,fc:  Civilization and Energy,Passive,Required,Text+Image,0.088913,2.5227,2013-08-16T03:30:45.282,,818,1890,818,1968-02-01T00:00:00,,0.01
Energy Usage,fc:  Civilization and Energy,Passive,Required,Text+Image,0.088913,2.5227,2013-08-16T03:29:01.348,,819,1926,819,1968-03-01T00:00:00,,0.01
Energy Usage,fc:  Civilization and Energy,Passive,Required,Text+Image,4.4102,-4.9293,2013-08-16T03:26:50.889,,820,1873,820,1968-04-01T00:00:00,,0.01
Energy Usage,fc:  Civilization and Energy,Passive,Required,Text+Image,4.4102,-4.9293,2013-08-16T03:25:47.034,,821,1980,821,1968-05-01T00:00:00,,0.01
Engagement 2,Conclusion,Active,Required,unknown,21.746,4.6234,2013-08-16T03:21:31.345,,822,1963,822,1968-06-01T00:00:00,,0.01
Luminosity,ne 2:  Energy Balance,Active,Required,unknown,-16.938,-12.199,2013-08-16T03:15:06.191,,823,1806,823,1968-07-01T00:00:00,,0.01
Shift,fp 2:  Radial Velocity,Passive,Required,Text+Image,-0.55343,-14.6,2013-08-16T03:12:55.589,,824,1977,824,1968-08-01T00:00:00,,0.01
Generation 2,fi 2:  Evolution,Active,Required,unknown,10.447,12.708,2013-08-16T03:09:08.084,,825,1843,825,1968-09-01T00:00:00,,0.01
AP - Logic 3,ne 2:  Energy Balance,Active,Optional,unknown,-21.746,-5.3834,2013-08-16T03:06:58.889,,826,1964,826,1968-10-01T00:00:00,,0.01
Atmospheres,ne 6:  Planetary Evolution,Active,Required,unknown,16.855,-8.7623,2013-08-16T03:06:13.62,,827,1877,827,1968-11-01T00:00:00,,0.01
Summary,R* 3:  Color,Passive,Required,Text+Video,-5.4565,-2.7551,2013-08-16T03:03:14.433,,828,1811,828,1968-12-01T00:00:00,,0.01
Map - Shark Bay,fl 5:  Biosignatures,Passive,Required,Text+Image,-17.894,8.7562,2013-08-16T02:56:27.347,,829,2002,829,1969-01-01T00:00:00,,0.01
Small Planets,ne 6:  Planetary Evolution,Passive,Required,Text+Image,5.6104,-5.8436,2013-08-16T02:53:56.218,,830,1945,830,1969-02-01T00:00:00,,0.01
Small Planets,ne 6:  Planetary Evolution,Passive,Required,Text+Image,5.6104,-5.8436,2013-08-16T02:51:51.342,,831,1954,831,1969-03-01T00:00:00,,0.01
Small Planets,ne 6:  Planetary Evolution,Passive,Required,Text+Image,6.2697,-7.1433,2013-08-16T02:49:54.27,,832,1855,832,1969-04-01T00:00:00,,0.01
Small Planets,ne 6:  Planetary Evolution,Passive,Required,Text+Image,6.2697,-7.1433,2013-08-16T02:45:27.142,,833,1868,833,1969-05-01T00:00:00,,0.01
Instability,ne 8:  Inorganic Carbon Cycle,Passive,Required,Text+Image,12.207,21.418,2013-08-16T02:41:47.513,,834,1949,834,1969-06-01T00:00:00,,0.01
Observations,ne 7:  Age Dating,Passive,Required,Text+Image,19.034,-10.077,2013-08-16T02:37:27.876,,835,1894,835,1969-07-01T00:00:00,,0.01
Bathtubs,ne 6:  Planetary Evolution,Passive,Required,Text+Image,1.4759,9.3589,2013-08-16T02:31:05.753,,836,1929,836,1969-08-01T00:00:00,,0.01
Microbes,fl 1:  Defining Life,Active,Bank Option,unknown,-21.88,-4.4784,2013-08-16T02:05:47.124,,837,1857,837,1969-09-01T00:00:00,,0.01
Trophys,fl 1:  Defining Life,Passive,Required,Text+Image,-18.844,12.486,2013-08-16T01:39:03.945,,838,1924,838,1969-10-01T00:00:00,,0.01
Pluto Composition,fp 3:  Planet Composition,Active,Required,unknown,-24.519,-8.2596,2013-08-16T01:35:29.536,,839,1910,839,1969-11-01T00:00:00,,0.01
Explain,ne 4:  Application,Active,Required,unknown,19.915,1.8911,2013-08-16T01:33:42.19,,840,1895,840,1969-12-01T00:00:00,,0.01
Instructions,fc:  Application,Passive,Required,Text,18.618,10.591,2013-08-16T01:31:27.612,,841,1929,841,1970-01-01T00:00:00,,0.01
Introduction,ne 1:  Water,Passive,Required,Text+Image,-19.954,8.2185,2013-08-16T01:18:40.991,,842,2002,842,1970-02-01T00:00:00,,0.01
Summary,fp 3:  Planet Composition,Passive,Required,Text+Video,-23.066,-7.2421,2013-08-16T01:08:08.804,,843,1992,843,1970-03-01T00:00:00,,0.01
Sequence,ne 7:  Age Dating,Passive,Required,Text+Image,18.707,-10.211,2013-08-16T00:55:55.422,,844,1895,844,1970-04-01T00:00:00,,0.01
Set 1,R* 3:  Color,Active,Bank Option,unknown,-4.2566,1.6828,2013-08-16T00:40:23.965,,845,1790,845,1970-05-01T00:00:00,,0.01
Set 1,R* 3:  Color,Active,Bank Option,unknown,-4.2566,1.6828,2013-08-16T00:04:04.646,,846,1897,846,1970-06-01T00:00:00,,0.01
Evaluation 6,R* 3:  Application,Active,Bank Option,unknown,-5.4977,-5.0863,2013-08-15T22:29:58.483,,847,1840,847,1970-07-01T00:00:00,,0.01
Predict Inclinations,fp 1:  Transits,Active,Required,unknown,-2.4265,16.194,2013-08-15T22:19:34.658,,848,1942,848,1970-08-01T00:00:00,,0.01
Marble Bar Overhead,ne 7:  Age Dating,Passive,Required,Text+Image,18.064,-19.156,2013-08-15T21:55:24.828,,849,1867,849,1970-09-01T00:00:00,,0.01
Summary,ne 2:  Energy Balance,Passive,Required,Text+Video,-26.201,-22.021,2013-08-15T21:07:36.968,,850,2008,850,1970-10-01T00:00:00,,0.01
White Dwarf 3,R* 4:  H-R Diagram,Active,Bank Option,unknown,-2.1052,-8.7898,2013-08-15T19:37:24.825,,851,2003,851,1970-11-01T00:00:00,,0.01
AP - Logic 6,ne 2:  Energy Balance,Active,Optional,unknown,-22.304,-6.3332,2013-08-15T18:31:50.77,,852,2006,852,1970-12-01T00:00:00,,0.01
Question,R* 2:  Brightness,Active,Required,unknown,-6.3871,-21.116,2013-08-15T18:22:21.437,,853,1834,853,1971-01-01T00:00:00,,0.01
Luminosity,R* 2:  Brightness,Active,Required,unknown,-22.809,-20.612,2013-08-15T17:57:53.017,,854,1930,854,1971-02-01T00:00:00,,0.01
Obs 1,Intro 2:  Mindscape,Active,Bank Option,unknown,-7.1492,12.448,2013-08-15T17:56:05.845,,855,2008,855,1971-03-01T00:00:00,,0.01
Abs Mag,R* 2:  Brightness,Active,Required,unknown,-22.298,-20.609,2013-08-15T17:38:47.711,,856,1853,856,1971-04-01T00:00:00,,0.01
Science 1,Conclusion,Active,Required,unknown,22.357,1.3303,2013-08-15T17:28:39.948,,857,1939,857,1971-05-01T00:00:00,,0.01
Medium Planets,ne 6:  Planetary Evolution,Passive,Required,Text+Image,7.2269,-8.4417,2013-08-15T16:44:10.158,,858,1852,858,1971-06-01T00:00:00,,0.01
Medium Planets,ne 6:  Planetary Evolution,Passive,Required,Text+Image,7.2269,-8.4417,2013-08-15T16:10:27.537,,859,1998,859,1971-07-01T00:00:00,,0.01
Medium Planets,ne 6:  Planetary Evolution,Passive,Required,Text+Image,5.8895,-6.2246,2013-08-15T16:00:03.412,,860,1972,860,1971-08-01T00:00:00,,0.01
Medium Planets,ne 6:  Planetary Evolution,Passive,Required,Text+Image,5.8895,-6.2246,2013-08-15T15:45:02.086,,861,1897,861,1971-09-01T00:00:00,,0.01
Planetary Nebula,ne 6:  Planetary Evolution,Passive,Required,Text+Image,-0.75961,9.7984,2013-08-15T15:25:42.316,,862,1925,862,1971-10-01T00:00:00,,0.01
Instructions,fp 3:  Application,Passive,Required,Text,-22.097,-4.5127,2013-08-15T14:56:34.801,,863,1925,863,1971-11-01T00:00:00,,0.01
Instructions,ne 6:  Application,Passive,Required,Text,20.676,-18.451,2013-08-15T14:27:00.114,,864,1933,864,1971-12-01T00:00:00,,0.01
Build-a-Saturn,fp 3:  Planet Composition,Active,Required,unknown,-21.467,12.502,2013-08-15T14:10:24.814,,865,1715,865,1972-01-01T00:00:00,,0.01
Robustness,ne 8:  Inorganic Carbon Cycle,Passive,Required,Text+Sim,9.7044,23.406,2013-08-15T14:08:30.544,,866,1989,866,1972-02-01T00:00:00,,0.01
Pressure Hypothesis,ne 3:  Gasses,Active,Required,unknown,0.14512,0.0094019,2013-08-15T13:56:28.782,,867,2011,867,1972-03-01T00:00:00,,0.01
Intro Survey,fp 1:  Transits,Active,Required,unknown,0.51456,-0.47666,2013-08-15T13:26:19.386,,868,1865,868,1972-04-01T00:00:00,,0.01
Populations,R* 5:  Stellar Lifecycles,Passive,Required,Text+Image,-2.7236,-16.563,2013-08-15T13:06:09.38,,869,1855,869,1972-05-01T00:00:00,,0.01
Knowing Ages,R* 5:  Stellar Lifecycles,Passive,Required,Text,-2.2957,-16.545,2013-08-15T12:57:05.177,,870,1874,870,1972-06-01T00:00:00,,0.01
Water Worlds,ne 1:  Water,Passive,Required,Text+Image,-16.96,-18.036,2013-08-15T12:43:33.666,,871,1975,871,1972-07-01T00:00:00,,0.01
Surface Area,ne 6:  Planetary Evolution,Active,Required,unknown,2.0809,8.2045,2013-08-15T12:03:30.211,,872,1950,872,1972-08-01T00:00:00,,0.01
Science 3,Intro 1:  Preconceptions,Active,Required,unknown,-17.304,13.317,2013-08-15T11:47:41.012,,873,1977,873,1972-09-01T00:00:00,,0.01
Cross-Cutting Relations,ne 7:  Age Dating,Passive,Required,Text,12.865,-21.134,2013-08-15T11:40:08.056,,874,1825,874,1972-10-01T00:00:00,,0.01
Industrial Activity,L:  Doomsday,Passive,Required,Text+Image,13.024,-2.8645,2013-08-15T11:24:48.029,,875,1904,875,1972-11-01T00:00:00,,0.01
Global Warming,L:  Doomsday,Active,Required,unknown,12.834,25.417,2013-08-15T10:47:45.645,,876,1753,876,1972-12-01T00:00:00,,0.01
Global Warming,L:  Doomsday,Active,Required,unknown,12.834,25.417,2013-08-15T10:45:47.824,,877,1706,877,1973-01-01T00:00:00,,0.01
Global Warming,L:  Doomsday,Active,Required,unknown,8.2975,26.125,2013-08-15T10:15:09.106,,878,1963,878,1973-02-01T00:00:00,,0.01
Global Warming,L:  Doomsday,Active,Required,unknown,8.2975,26.125,2013-08-15T10:11:20.526,,879,1933,879,1973-03-01T00:00:00,,0.01
Exit,ne 1:  Application,Passive,Required,Text+Image,-16.252,-15.228,2013-08-15T10:09:19.491,,880,1974,880,1973-04-01T00:00:00,,0.01
Patterns - Analyze,Intro 2:  Mindscape,Passive,Required,Text+Poll Results,-8.7565,13.98,2013-08-15T09:50:46.788,,881,1881,881,1973-05-01T00:00:00,,0.01
Mass Behavior,fp 1:  Transits,Active,Required,unknown,-0.74209,3.6337,2013-08-15T09:33:21.792,,882,1889,882,1973-06-01T00:00:00,,0.01
Demo,fp 1:  Transits,Passive,Required,Text+Video,-7.3918,12.801,2013-08-15T09:13:44.349,,883,1958,883,1973-07-01T00:00:00,,0.01
Molecules,Science Literacy,Active,Required,unknown,-20.151,8.1103,2013-08-15T08:58:59.889,,884,1846,884,1973-08-01T00:00:00,,0.01
Methanogens,fl 5:  Biosignatures,Active,Required,unknown,-7.5064,12.314,2013-08-15T08:44:32.586,,885,1782,885,1973-09-01T00:00:00,,0.01
White Dwarf 2,R* 4:  H-R Diagram,Active,Bank Option,unknown,-0.21056,-10.658,2013-08-15T08:43:13.178,,886,1843,886,1973-10-01T00:00:00,,0.01
Sweet Spot,Science Literacy,Passive,Required,Text+Image,-6.3549,0.27804,2013-08-15T08:34:45.129,,887,1956,887,1973-11-01T00:00:00,,0.01
fl-fi-fc,Intro 6:  Drake Conjecture,Passive,Required,Text+Image,8.2136,-9.6161,2013-08-15T08:21:40.513,,888,1907,888,1973-12-01T00:00:00,,0.01
Source,ne 8:  Inorganic Carbon Cycle,Active,Required,unknown,7.2402,26.931,2013-08-15T08:18:58.854,,889,1866,889,1974-01-01T00:00:00,,0.01
Reflection,Intro 3:  Space,Active,Required,unknown,-5.6358,-21.8,2013-08-15T08:09:53.882,,890,1961,890,1974-02-01T00:00:00,,0.01
ne,Intro 6:  Drake Conjecture,Active,Required,unknown,8.1175,-9.1664,2013-08-15T07:51:31.205,,891,1933,891,1974-03-01T00:00:00,,0.01
ne,Intro 6:  Drake Conjecture,Passive,Required,Text+Image,8.1175,-9.1664,2013-08-15T07:37:13.116,,892,1901,892,1974-04-01T00:00:00,,0.01
ne,Intro 6:  Drake Conjecture,Active,Required,unknown,14.587,16.223,2013-08-15T07:29:11.571,,893,1818,893,1974-05-01T00:00:00,,0.01
ne,Intro 6:  Drake Conjecture,Passive,Required,Text+Image,14.587,16.223,2013-08-15T07:20:14.883,,894,1910,894,1974-06-01T00:00:00,,0.01
Steady CO2,ne 8:  Inorganic Carbon Cycle,Active,Required,unknown,8.5261,24.822,2013-08-15T07:17:23.65,,895,1894,895,1974-07-01T00:00:00,,0.01
Different Masses,fp 1:  Transits,Active,Required,unknown,-0.82141,4.1225,2013-08-15T07:07:46.472,,896,1849,896,1974-08-01T00:00:00,,0.01
Hot Flux,R* 4:  H-R Diagram,Active,Required,unknown,-1.6799,-9.456,2013-08-15T07:00:29.234,,897,1962,897,1974-09-01T00:00:00,,0.01
North Pole - Cross,fl 5:  Biosignatures,Passive,Required,Text+Image,-18.649,-9.7877,2013-08-15T06:22:18.293,,898,1838,898,1974-10-01T00:00:00,,0.01
